,max_temp,min_temp,apparent_temperature_max,apparent_temperature_min,wind_speed,weather_code,precipitation_sum,rain_sum,showers_sum,snowfall_sum,precipitation_probability_mean,Date,Stadium
0,28.4,21.5,31.7,23.0,13.8,53,0.6,0.6,0.0,0.0,,23/08/2014,Juegos Mediterráneos
1,29.7,15.8,29.4,14.6,12.7,0,0.0,0.0,0.0,0.0,,23/08/2014,Nuevo Los Cármenes
2,30.4,22.6,32.7,22.4,16.8,1,0.0,0.0,0.0,0.0,,23/08/2014,La Rosaleda
3,34.1,20.9,34.4,20.0,13.5,3,0.0,0.0,0.0,0.0,,23/08/2014,Ramón Sánchez Pizjuán
4,23.7,18.9,25.3,20.3,16.5,51,1.5,1.5,0.0,0.0,,24/08/2014,Camp Nou
5,21.1,14.3,22.4,14.5,14.5,3,0.0,0.0,0.0,0.0,,24/08/2014,Balaídos
6,22.5,13.3,23.8,12.9,15.1,3,0.0,0.0,0.0,0.0,,24/08/2014,Ipurua
7,29.8,22.0,31.8,24.7,22.9,51,0.2,0.2,0.0,0.0,,24/08/2014,Ciutat de València
8,32.7,16.2,30.0,14.9,15.5,0,0.0,0.0,0.0,0.0,,25/08/2014,Santiago Bernabéu
9,27.0,19.4,29.5,22.3,15.0,51,0.1,0.1,0.0,0.0,,25/08/2014,Vallecas
10,22.0,17.3,22.4,18.0,12.8,3,0.0,0.0,0.0,0.0,,29/08/2014,Coliseum Alfonso Pérez
11,30.4,22.7,33.1,27.1,18.2,51,0.3,0.3,0.0,0.0,,29/08/2014,Mestalla
12,20.3,16.5,19.9,16.9,14.7,51,0.1,0.1,0.0,0.0,,30/08/2014,San Mamés
13,30.8,20.0,31.1,20.2,12.0,3,0.0,0.0,0.0,0.0,,30/08/2014,Vicente Calderón
14,36.1,23.8,35.2,24.3,15.9,3,0.0,0.0,0.0,0.0,,30/08/2014,El Arcángel
15,23.0,17.2,24.7,18.9,7.8,63,7.0,7.0,0.0,0.0,,30/08/2014,Power8 Stadium
16,33.3,20.3,34.0,20.7,12.6,1,0.0,0.0,0.0,0.0,,31/08/2014,Martínez Valero
17,28.2,13.2,31.1,13.1,12.2,1,0.0,0.0,0.0,0.0,,31/08/2014,Riazor
18,35.1,21.1,36.6,22.3,12.0,3,0.0,0.0,0.0,0.0,,31/08/2014,Anoeta
19,27.4,20.8,29.8,23.6,15.3,53,1.9,1.9,0.0,0.0,,31/08/2014,El Madrigal
20,27.7,21.3,29.5,22.7,15.7,0,0.0,0.0,0.0,0.0,,12/09/2014,Juegos Mediterráneos
21,25.6,19.4,27.5,21.8,15.3,3,0.0,0.0,0.0,0.0,,13/09/2014,Camp Nou
22,22.4,18.3,24.1,19.5,14.9,61,1.8,1.8,0.0,0.0,,13/09/2014,Balaídos
23,28.7,21.5,31.6,22.9,9.4,3,0.0,0.0,0.0,0.0,,13/09/2014,La Rosaleda
24,27.6,17.4,25.5,17.0,12.7,3,0.0,0.0,0.0,0.0,,13/09/2014,Santiago Bernabéu
25,27.5,15.1,26.1,14.4,14.1,3,0.0,0.0,0.0,0.0,,14/09/2014,Nuevo Los Cármenes
26,30.4,19.3,29.7,20.3,19.9,3,0.0,0.0,0.0,0.0,,14/09/2014,Ramón Sánchez Pizjuán
27,31.7,21.7,34.6,25.2,20.7,2,0.0,0.0,0.0,0.0,,14/09/2014,Mestalla
28,24.0,18.5,26.7,20.1,11.4,63,19.6,19.6,0.0,0.0,,14/09/2014,Vallecas
29,23.6,16.0,26.0,16.8,8.7,3,0.0,0.0,0.0,0.0,,15/09/2014,Ipurua
30,24.6,13.7,20.9,13.1,18.8,3,0.0,0.0,0.0,0.0,,19/09/2014,Martínez Valero
31,26.8,18.9,28.1,18.5,13.2,51,0.6,0.6,0.0,0.0,,20/09/2014,San Mamés
32,24.4,12.9,23.2,12.9,10.5,3,0.0,0.0,0.0,0.0,,20/09/2014,Vicente Calderón
