,max_temp,min_temp,apparent_temperature_max,apparent_temperature_min,wind_speed,weather_code,precipitation_sum,rain_sum,showers_sum,snowfall_sum,precipitation_probability_mean,Date,Stadium
0,20.4,14.8,21.5,14.9,10.0,3,0.0,0.0,0.0,0.0,,29/10/2019,Camp Nou
1,18.8,8.4,18.4,6.8,11.5,53,1.7,1.7,0.0,0.0,,30/10/2019,Reale Arena
2,24.4,13.9,24.7,13.2,10.1,3,0.0,0.0,0.0,0.0,,30/10/2019,Mestalla
3,22.2,14.2,22.2,13.7,21.0,53,1.4,1.4,0.0,0.0,,30/10/2019,San Mamés
4,25.6,13.6,25.5,14.0,13.5,3,0.0,0.0,0.0,0.0,,30/10/2019,Benito Villamarín
5,18.8,8.2,18.1,6.5,13.4,53,1.4,1.4,0.0,0.0,,30/10/2019,Santiago Bernabéu
6,18.6,13.6,20.5,13.5,9.4,61,6.5,6.5,0.0,0.0,,31/10/2019,Ipurua
7,24.2,17.5,23.9,18.3,17.9,51,0.2,0.2,0.0,0.0,,31/10/2019,Visit Mallorca Stadium
8,18.5,16.0,20.0,15.4,19.5,55,5.0,5.0,0.0,0.0,,31/10/2019,Coliseum Alfonso Pérez
9,23.9,13.9,22.8,14.0,17.1,3,0.0,0.0,0.0,0.0,,02/11/2019,RCDE Stadium
10,26.5,19.5,23.1,18.0,26.3,3,0.0,0.0,0.0,0.0,,02/11/2019,Ciutat de València
11,24.4,18.5,23.2,18.3,22.0,53,1.6,1.6,0.0,0.0,,02/11/2019,Ramón Sánchez Pizjuán
12,18.2,13.3,15.2,10.1,26.8,51,0.1,0.1,0.0,0.0,,02/11/2019,Santiago Bernabéu
13,12.8,9.9,8.8,5.8,33.9,51,1.6,1.6,0.0,0.0,,03/11/2019,José Zorrilla
14,24.3,15.7,20.4,12.2,21.1,3,0.0,0.0,0.0,0.0,,03/11/2019,Estadio de la Cerámica
15,14.7,10.4,13.3,5.5,25.3,63,7.1,7.1,0.0,0.0,,03/11/2019,El Sadar
16,16.6,13.5,15.1,10.8,35.6,63,18.1,18.1,0.0,0.0,,03/11/2019,Abanca-Balaídos
17,16.4,11.6,10.9,7.1,33.2,51,0.6,0.6,0.0,0.0,,03/11/2019,Butarque
18,13.9,11.4,13.3,10.1,12.6,55,11.4,11.4,0.0,0.0,,03/11/2019,Nuevo Los Cármenes
19,11.6,3.7,6.7,-1.0,20.9,3,0.0,0.0,0.0,0.0,,08/11/2019,Reale Arena
20,9.0,6.2,5.9,2.4,21.3,63,13.6,13.6,0.0,0.0,,09/11/2019,Mendizorrotza
