,max_temp,min_temp,apparent_temperature_max,apparent_temperature_min,wind_speed,weather_code,precipitation_sum,rain_sum,showers_sum,snowfall_sum,precipitation_probability_mean,Date,Stadium
0,17.6,9.7,14.3,5.9,22.0,3,0.0,0.0,0.0,0.0,,28/02/2017,Mestalla
1,14.3,9.7,12.5,7.8,17.7,51,0.5,0.5,0.0,0.0,,01/03/2017,Camp Nou
2,14.6,9.3,12.0,8.1,22.6,53,3.1,3.1,0.0,0.0,,01/03/2017,Balaídos
3,15.1,2.1,13.5,-0.8,9.5,2,0.0,0.0,0.0,0.0,,01/03/2017,Nuevo Los Cármenes
4,13.4,0.7,11.2,-2.3,13.6,3,0.0,0.0,0.0,0.0,,01/03/2017,El Sadar
5,14.8,3.8,11.3,1.0,15.5,3,0.0,0.0,0.0,0.0,,01/03/2017,Santiago Bernabéu
6,12.8,9.5,9.2,5.8,22.7,53,2.6,2.6,0.0,0.0,,02/03/2017,Riazor
7,20.6,7.6,21.0,5.8,10.1,2,0.0,0.0,0.0,0.0,,02/03/2017,Ramón Sánchez Pizjuán
8,14.5,8.6,11.9,4.2,30.2,63,10.0,10.0,0.0,0.0,,03/03/2017,Benito Villamarín
9,14.3,6.1,10.7,-0.2,39.5,63,14.4,14.4,0.0,0.0,,04/03/2017,Camp Nou
10,11.0,4.0,6.5,1.2,20.5,53,1.9,1.9,0.0,0.0,,04/03/2017,Ipurua
11,9.3,1.0,5.5,-3.8,25.5,51,0.1,0.1,0.0,0.0,,04/03/2017,Butarque
12,15.8,8.1,13.1,3.4,23.3,51,0.3,0.3,0.0,0.0,,04/03/2017,Estadio de la Cerámica
13,15.7,7.7,14.0,5.1,22.5,53,2.2,2.2,0.0,0.0,,05/03/2017,San Mamés
14,13.9,3.2,11.0,-0.2,18.0,51,0.1,0.1,0.0,0.0,,05/03/2017,Vicente Calderón
15,13.1,4.3,12.1,1.4,13.0,51,0.1,0.1,0.0,0.0,,05/03/2017,Gran Canaria
16,14.6,6.7,11.8,4.3,18.5,53,5.3,5.3,0.0,0.0,,05/03/2017,El Molinón
17,14.0,4.6,10.6,2.2,24.8,53,2.0,2.0,0.0,0.0,,06/03/2017,Mendizorrotza
18,15.9,7.7,15.5,6.7,7.4,3,0.0,0.0,0.0,0.0,,08/03/2017,Riazor
19,20.8,8.8,20.7,7.4,12.2,0,0.0,0.0,0.0,0.0,,10/03/2017,RCDE Stadium
20,22.4,8.2,21.2,4.9,8.9,3,0.0,0.0,0.0,0.0,,11/03/2017,Nuevo Los Cármenes
21,23.8,10.2,24.9,8.2,17.5,3,0.0,0.0,0.0,0.0,,11/03/2017,La Rosaleda
22,26.0,9.1,25.4,7.2,12.4,3,0.0,0.0,0.0,0.0,,11/03/2017,Ramón Sánchez Pizjuán
23,18.7,10.1,19.2,8.6,13.2,3,0.0,0.0,0.0,0.0,,11/03/2017,Mestalla
24,13.8,9.6,11.2,6.4,24.1,53,2.3,2.3,0.0,0.0,,12/03/2017,Balaídos
25,10.0,6.9,7.1,2.6,32.2,53,4.5,4.5,0.0,0.0,,12/03/2017,Riazor
26,17.2,6.1,14.6,1.1,25.9,51,1.1,1.1,0.0,0.0,,12/03/2017,Santiago Bernabéu
27,24.0,12.8,21.8,10.3,23.2,3,0.0,0.0,0.0,0.0,,12/03/2017,Anoeta
28,9.8,6.8,5.3,2.0,26.6,55,5.9,5.9,0.0,0.0,,13/03/2017,El Sadar
29,10.9,1.3,8.7,-1.4,12.4,55,2.4,2.4,0.0,0.0,,17/03/2017,Gran Canaria
30,13.7,4.3,12.2,2.1,14.9,3,0.0,0.0,0.0,0.0,,18/03/2017,Mendizorrotza
31,11.9,6.9,10.6,5.0,12.6,3,0.0,0.0,0.0,0.0,,18/03/2017,San Mamés
32,22.9,9.6,21.7,7.0,14.0,1,0.0,0.0,0.0,0.0,,18/03/2017,Benito Villamarín
33,13.7,6.3,12.2,4.4,8.7,3,0.0,0.0,0.0,0.0,,18/03/2017,Ipurua
34,23.0,5.0,21.9,2.1,8.4,3,0.0,0.0,0.0,0.0,,19/03/2017,Vicente Calderón
35,18.9,10.4,18.3,9.3,10.5,2,0.0,0.0,0.0,0.0,,19/03/2017,Camp Nou
36,15.5,7.1,14.4,5.2,15.9,3,0.0,0.0,0.0,0.0,,19/03/2017,Riazor
37,23.4,4.2,21.3,1.3,14.9,3,0.0,0.0,0.0,0.0,,19/03/2017,Butarque
38,11.7,7.5,10.3,6.5,7.4,3,0.0,0.0,0.0,0.0,,19/03/2017,El Molinón
39,17.2,8.7,16.4,7.0,16.1,51,0.1,0.1,0.0,0.0,,31/03/2017,RCDE Stadium
40,22.8,14.1,20.1,11.5,21.7,2,0.0,0.0,0.0,0.0,,01/04/2017,La Rosaleda
41,11.6,6.1,10.1,4.3,17.4,61,4.8,4.8,0.0,0.0,,01/04/2017,El Sadar
42,22.4,9.9,20.9,8.3,13.0,3,0.0,0.0,0.0,0.0,,01/04/2017,Anoeta
43,20.7,9.2,19.1,5.9,17.0,53,0.8,0.8,0.0,0.0,,01/04/2017,Estadio de la Cerámica
44,18.2,4.7,17.2,0.9,11.9,3,0.0,0.0,0.0,0.0,,02/04/2017,Nuevo Los Cármenes
45,18.5,3.7,16.0,0.7,20.3,1,0.0,0.0,0.0,0.0,,02/04/2017,Santiago Bernabéu
46,23.9,8.3,23.1,6.0,9.7,3,0.0,0.0,0.0,0.0,,02/04/2017,Ramón Sánchez Pizjuán
47,21.1,10.0,19.6,6.5,20.6,2,0.0,0.0,0.0,0.0,,02/04/2017,Mestalla
48,18.9,6.2,19.6,3.9,13.2,3,0.0,0.0,0.0,0.0,,03/04/2017,Balaídos
49,13.0,9.0,11.5,7.9,18.8,55,1.5,1.5,0.0,0.0,,04/04/2017,San Mamés
50,21.6,5.1,19.1,1.5,15.9,3,0.0,0.0,0.0,0.0,,04/04/2017,Vicente Calderón
51,25.8,8.1,24.0,6.3,13.7,0,0.0,0.0,0.0,0.0,,04/04/2017,Benito Villamarín
52,11.6,6.3,7.5,3.6,24.6,51,1.3,1.3,0.0,0.0,,05/04/2017,Mendizorrotza
53,18.4,10.5,17.5,9.7,12.4,55,2.4,2.4,0.0,0.0,,05/04/2017,Camp Nou
54,15.1,7.3,12.3,2.5,29.0,3,0.0,0.0,0.0,0.0,,05/04/2017,Riazor
55,19.2,6.9,14.6,2.7,24.5,2,0.0,0.0,0.0,0.0,,05/04/2017,Butarque
56,13.2,7.6,10.9,6.3,13.9,51,0.5,0.5,0.0,0.0,,05/04/2017,El Molinón
57,15.4,8.9,14.4,7.7,12.6,51,0.2,0.2,0.0,0.0,,06/04/2017,Ipurua
58,20.6,10.0,20.1,8.6,19.7,1,0.0,0.0,0.0,0.0,,06/04/2017,Mestalla
59,20.5,9.4,19.4,6.7,14.3,0,0.0,0.0,0.0,0.0,,07/04/2017,Estadio de la Cerámica
60,20.8,9.3,21.4,7.9,14.8,0,0.0,0.0,0.0,0.0,,08/04/2017,RCDE Stadium
61,18.4,11.4,17.6,10.1,21.8,0,0.0,0.0,0.0,0.0,,08/04/2017,La Rosaleda
62,23.4,6.9,21.9,4.2,10.3,0,0.0,0.0,0.0,0.0,,08/04/2017,Santiago Bernabéu
63,26.4,11.8,23.6,9.0,19.1,0,0.0,0.0,0.0,0.0,,08/04/2017,Ramón Sánchez Pizjuán
64,25.1,9.1,26.4,7.3,10.7,3,0.0,0.0,0.0,0.0,,09/04/2017,Balaídos
65,19.2,5.0,18.9,1.5,11.0,2,0.0,0.0,0.0,0.0,,09/04/2017,Nuevo Los Cármenes
66,15.4,1.8,15.3,-0.5,9.5,3,0.0,0.0,0.0,0.0,,09/04/2017,Gran Canaria
67,21.8,9.5,21.2,7.0,9.3,0,0.0,0.0,0.0,0.0,,09/04/2017,El Sadar
68,28.2,13.2,26.3,10.2,20.9,2,0.0,0.0,0.0,0.0,,10/04/2017,Anoeta
69,14.2,9.0,13.4,8.1,10.9,53,2.4,2.4,0.0,0.0,,14/04/2017,San Mamés
70,26.3,11.7,25.0,9.6,20.5,51,0.4,0.4,0.0,0.0,,15/04/2017,Vicente Calderón
71,19.6,13.1,19.6,12.1,13.9,51,0.3,0.3,0.0,0.0,,15/04/2017,Camp Nou
72,16.2,7.4,14.9,5.4,18.1,3,0.0,0.0,0.0,0.0,,15/04/2017,Riazor
73,13.2,10.3,12.0,8.4,11.0,51,0.8,0.8,0.0,0.0,,15/04/2017,El Molinón
74,28.7,14.1,28.7,12.8,14.1,3,0.0,0.0,0.0,0.0,,16/04/2017,Benito Villamarín
75,23.8,10.2,22.8,7.6,9.5,3,0.0,0.0,0.0,0.0,,16/04/2017,Nuevo Los Cármenes
76,25.3,9.9,24.2,6.2,17.7,3,0.0,0.0,0.0,0.0,,16/04/2017,Butarque
77,20.5,11.7,21.2,11.0,18.8,3,0.0,0.0,0.0,0.0,,16/04/2017,Mestalla
78,18.1,6.1,17.7,4.2,15.8,3,0.0,0.0,0.0,0.0,,17/04/2017,Mendizorrotza
79,24.9,14.6,22.3,10.0,24.7,51,0.4,0.4,0.0,0.0,,21/04/2017,Ramón Sánchez Pizjuán
80,17.7,6.4,15.9,4.0,21.8,0,0.0,0.0,0.0,0.0,,22/04/2017,RCDE Stadium
81,18.7,14.1,17.9,12.4,24.2,53,2.5,2.5,0.0,0.0,,22/04/2017,La Rosaleda
82,20.3,5.2,19.6,1.6,10.2,0,0.0,0.0,0.0,0.0,,22/04/2017,El Sadar
83,18.5,6.1,17.2,2.2,15.1,3,0.0,0.0,0.0,0.0,,22/04/2017,Estadio de la Cerámica
84,23.8,9.5,25.2,7.7,10.8,1,0.0,0.0,0.0,0.0,,23/04/2017,Balaídos
85,16.6,5.5,17.7,3.4,7.7,3,0.0,0.0,0.0,0.0,,23/04/2017,Gran Canaria
86,24.5,7.6,23.3,4.6,11.2,3,0.0,0.0,0.0,0.0,,23/04/2017,Santiago Bernabéu
87,28.0,13.9,28.9,13.0,19.8,51,0.1,0.1,0.0,0.0,,23/04/2017,Anoeta
88,23.2,8.8,24.3,7.3,11.6,3,0.0,0.0,0.0,0.0,,24/04/2017,Ipurua
89,21.8,10.9,19.1,9.4,24.6,55,3.9,3.9,0.0,0.0,,25/04/2017,Vicente Calderón
90,20.8,10.1,18.8,8.9,19.6,51,0.7,0.7,0.0,0.0,,25/04/2017,Nuevo Los Cármenes
91,11.9,7.4,11.1,4.3,19.2,61,17.1,17.1,0.0,0.0,,25/04/2017,El Molinón
92,15.5,11.7,15.0,9.3,15.1,53,4.8,4.8,0.0,0.0,,26/04/2017,Camp Nou
93,11.1,4.6,6.6,0.3,26.7,51,0.2,0.2,0.0,0.0,,26/04/2017,Riazor
94,19.1,7.9,15.7,2.5,24.7,53,0.6,0.6,0.0,0.0,,26/04/2017,Butarque
95,19.8,13.6,20.0,12.8,24.2,51,1.0,1.0,0.0,0.0,,26/04/2017,Mestalla
96,8.3,2.3,5.8,-1.1,20.2,53,2.9,2.9,0.0,0.0,,27/04/2017,Mendizorrotza
97,10.0,5.7,8.3,2.4,20.0,61,4.2,4.2,0.0,0.0,,27/04/2017,San Mamés
98,23.2,14.9,21.6,13.4,14.6,63,9.4,9.4,0.0,0.0,,27/04/2017,Ramón Sánchez Pizjuán
99,16.2,7.1,14.4,3.9,15.8,3,0.0,0.0,0.0,0.0,,28/04/2017,Estadio de la Cerámica
100,16.0,6.7,13.2,4.3,21.8,51,0.1,0.1,0.0,0.0,,29/04/2017,RCDE Stadium
101,15.7,7.1,13.4,5.8,14.8,51,1.1,1.1,0.0,0.0,,29/04/2017,Gran Canaria
102,13.4,7.9,11.8,5.7,13.4,61,8.5,8.5,0.0,0.0,,29/04/2017,Santiago Bernabéu
103,21.5,13.5,21.3,13.1,21.6,53,4.9,4.9,0.0,0.0,,29/04/2017,Anoeta
104,18.9,11.2,15.5,9.0,25.1,3,0.0,0.0,0.0,0.0,,30/04/2017,Benito Villamarín
105,13.5,9.9,9.9,5.7,30.2,63,22.4,22.4,0.0,0.0,,30/04/2017,Balaídos
106,16.3,6.4,13.0,3.5,29.8,63,9.9,9.9,0.0,0.0,,30/04/2017,Ipurua
107,14.9,5.5,10.7,2.7,28.1,61,5.1,5.1,0.0,0.0,,30/04/2017,El Sadar
108,20.6,15.0,18.8,13.0,24.5,2,0.0,0.0,0.0,0.0,,01/05/2017,La Rosaleda
109,22.6,15.5,22.3,15.3,24.3,53,1.6,1.6,0.0,0.0,,05/05/2017,Ramón Sánchez Pizjuán
110,21.8,9.4,19.0,7.7,16.2,53,0.7,0.7,0.0,0.0,,06/05/2017,Vicente Calderón
111,25.2,13.9,24.6,13.1,25.6,51,0.3,0.3,0.0,0.0,,06/05/2017,Camp Nou
112,21.4,7.3,20.2,5.2,10.6,1,0.0,0.0,0.0,0.0,,06/05/2017,Nuevo Los Cármenes
113,18.2,8.8,17.2,6.1,13.3,51,0.2,0.2,0.0,0.0,,06/05/2017,El Molinón
114,18.7,7.2,18.5,5.0,15.6,3,0.0,0.0,0.0,0.0,,07/05/2017,Mendizorrotza
115,22.8,10.4,23.0,8.7,19.3,3,0.0,0.0,0.0,0.0,,07/05/2017,Riazor
116,21.4,13.7,22.1,13.2,13.6,3,0.0,0.0,0.0,0.0,,07/05/2017,La Rosaleda
117,22.1,13.1,23.4,10.5,13.5,2,0.0,0.0,0.0,0.0,,07/05/2017,Mestalla
118,28.4,12.3,27.8,9.3,17.3,3,0.0,0.0,0.0,0.0,,08/05/2017,Butarque
119,25.2,14.9,24.9,14.1,23.4,2,0.0,0.0,0.0,0.0,,13/05/2017,RCDE Stadium
120,20.1,9.7,18.0,8.1,16.2,51,0.1,0.1,0.0,0.0,,13/05/2017,El Sadar
121,21.0,9.6,18.6,7.3,18.9,3,0.0,0.0,0.0,0.0,,14/05/2017,Mendizorrotza
122,20.7,12.1,21.8,11.3,16.6,51,0.2,0.2,0.0,0.0,,14/05/2017,San Mamés
123,26.1,11.8,27.4,11.0,10.1,3,0.0,0.0,0.0,0.0,,14/05/2017,Benito Villamarín
